"SubjNum","voto_sen_candidato_1","voto_sen_candidato_2","voto_sen_candidato_3","voto_sen_candidato_4","voto_sen_candidato_5","voto_sen_candidato_6","voto_sen_candidato_7","voto_sen_candidato_8","voto_sen_candidato_9","ident_partido","sexo","edad","si_voto","geometry","seccion","tipo_casilla"
324,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",93,"Sí","c(-115.18687547| 32.353917359)",630,"B1"
325,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",40,"Sí","c(-115.18687547| 32.353917359)",630,"B1"
326,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",19,"Sí","c(-115.18687547| 32.353917359)",630,"B1"
327,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",86,"Sí","c(-115.18687547| 32.353917359)",630,"B1"
328,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",53,"Sí","c(-115.18687547| 32.353917359)",630,"B1"
329,"Jaime Bonilla y Janeth Tapia del Partido del Trabajo (PT)",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",66,"Sí","c(-115.18687547| 32.353917359)",630,"B1"
330,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PVEM – Partido Verde Ecologista de México","Hombre",60,"Sí","c(-115.18687547| 32.353917359)",630,"B1"
331,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",74,"Sí","c(-115.18687547| 32.353917359)",630,"B1"
332,"Voto nulo",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",48,"Sí","c(-115.18687547| 32.353917359)",630,"B1"
333,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",22,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
334,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,"MORENA","Hombre",57,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
335,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",30,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
336,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"Ninguno","Mujer",34,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
337,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PRI - Partido Revolucionario Institucional","Mujer",58,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
338,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PRI - Partido Revolucionario Institucional","Mujer",33,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
339,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",85,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
340,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",64,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
341,"Voto nulo",NA,NA,NA,NA,NA,NA,NA,NA,"PT- Partido del Trabajo","Hombre",56,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
342,"Julieta Ramírez y Armando Ayala de Morena","Jaime Bonilla y Janeth Tapia del Partido del Trabajo (PT)",NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",38,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
343,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",80,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
344,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",21,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
345,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PVEM – Partido Verde Ecologista de México","Mujer",52,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
346,"Jaime Bonilla y Janeth Tapia del Partido del Trabajo (PT)",NA,NA,NA,NA,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,"MORENA","Mujer",77,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
347,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",46,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
348,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",22,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
349,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",33,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
350,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PVEM – Partido Verde Ecologista de México","Hombre",65,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
351,"No respondió",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",38,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
352,"Julieta Ramírez y Armando Ayala de Morena","Juan Carlos Hank y Mónica Vega de Partido Verde (PVEM)",NA,NA,NA,NA,NA,NA,NA,"PRI - Partido Revolucionario Institucional","Hombre",24,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
353,"Julieta Ramírez y Armando Ayala de Morena",NA,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",37,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
354,"Juan Carlos Hank y Mónica Vega de Partido Verde (PVEM)",NA,NA,NA,NA,NA,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,"PT- Partido del Trabajo","Hombre",35,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
355,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",25,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
356,"Juan Carlos Hank y Mónica Vega de Partido Verde (PVEM)",NA,NA,NA,NA,NA,NA,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,"MORENA","Hombre",34,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
357,"No respondió",NA,NA,NA,NA,NA,NA,NA,"Julieta Ramírez y Armando Ayala de Morena","No sabe/No respondió","Mujer",78,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
358,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PRI - Partido Revolucionario Institucional","Hombre",66,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
359,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",68,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
360,"No respondió",NA,NA,NA,NA,NA,NA,NA,NA,"Ninguno","Hombre",54,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
361,"Julieta Ramírez y Armando Ayala de Morena","Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",88,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
362,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,"MORENA","Mujer",82,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
363,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",76,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
364,"Julieta Ramírez y Armando Ayala de Morena",NA,"Voto nulo",NA,NA,NA,NA,NA,NA,"MORENA","Hombre",81,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
365,"Gustavo Sánchez y Guadalupe Gutiérrez del PRD",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",28,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
366,"No respondió",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",36,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
367,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",25,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
368,"No respondió",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",72,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
369,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",88,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
370,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",94,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
371,"Jaime Bonilla y Janeth Tapia del Partido del Trabajo (PT)",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",79,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
372,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",93,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
373,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",100,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
374,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,NA,"MORENA","Mujer",19,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
375,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,NA,NA,NA,NA,NA,NA,"PT- Partido del Trabajo","Hombre",41,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
376,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"Ninguno","Hombre",59,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
377,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",92,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
378,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,NA,NA,NA,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,"MORENA","Hombre",23,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
379,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",70,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
380,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,"PRI - Partido Revolucionario Institucional","Hombre",34,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
381,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"No sabe/No respondió","Mujer",20,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
382,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",85,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
383,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",85,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
384,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",19,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
385,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",33,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
386,"Julieta Ramírez y Armando Ayala de Morena","No respondió",NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",83,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
387,"Jaime Bonilla y Janeth Tapia del Partido del Trabajo (PT)",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",57,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
388,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",75,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
389,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",27,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
390,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",66,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
391,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PRI - Partido Revolucionario Institucional","Hombre",29,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
392,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"No sabe/No respondió","Mujer",54,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
393,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",76,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
394,"Julieta Ramírez y Armando Ayala de Morena","Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",82,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
395,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,NA,NA,NA,NA,NA,NA,"PRI - Partido Revolucionario Institucional","Hombre",54,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
396,"Gustavo Sánchez y Guadalupe Gutiérrez del PRD",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",68,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
397,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",69,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
398,"Juan Carlos Hank y Mónica Vega de Partido Verde (PVEM)",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",26,"Sí","c(-115.296127748| 32.295168264)",649,"B1"
399,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",31,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
400,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",91,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
401,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",20,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
402,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"No sabe/No respondió","Mujer",28,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
403,"David Saul Guakil y Argelia Núñez de (MC)",NA,NA,NA,NA,NA,NA,NA,NA,"No sabe/No respondió","Hombre",88,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
404,"No respondió",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",30,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
405,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",99,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
406,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",89,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
407,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",97,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
408,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",74,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
409,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",47,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
410,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,"No sabe/No respondió","Mujer",66,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
411,"Julieta Ramírez y Armando Ayala de Morena","Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",54,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
412,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,"MORENA","Hombre",47,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
413,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",38,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
414,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",53,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
415,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",38,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
416,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",43,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
417,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",35,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
418,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",44,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
419,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",61,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
420,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",63,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
421,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,"MORENA","Hombre",90,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
422,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",67,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
423,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",98,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
424,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"Ninguno","Hombre",25,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
425,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",47,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
426,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",56,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
427,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",86,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
428,"David Saul Guakil y Argelia Núñez de (MC)",NA,"David Saul Guakil y Argelia Núñez de (MC)",NA,NA,NA,NA,NA,NA,"MORENA","Hombre",84,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
429,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",43,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
430,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",82,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
431,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",88,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
432,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",30,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
433,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",62,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
434,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",31,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
435,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,"Julieta Ramírez y Armando Ayala de Morena",NA,"MORENA","Mujer",73,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
436,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",51,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
437,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",79,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
438,"No respondió",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",32,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
439,"Jaime Bonilla y Janeth Tapia del Partido del Trabajo (PT)",NA,NA,NA,NA,NA,NA,"Julieta Ramírez y Armando Ayala de Morena",NA,"MORENA","Mujer",50,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
440,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",19,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
441,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",25,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
442,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"Ninguno","Mujer",51,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
443,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,"MORENA","Hombre",96,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
444,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PT- Partido del Trabajo","Hombre",68,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
445,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,"No respondió","MORENA","Mujer",93,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
446,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",51,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
447,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PRI - Partido Revolucionario Institucional","Hombre",85,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
448,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",99,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
449,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"Ninguno","Hombre",35,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
450,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,NA,NA,NA,NA,NA,NA,"No sabe/No respondió","Hombre",42,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
451,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",39,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
452,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",70,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
453,"No respondió",NA,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",88,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
454,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",74,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
455,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PRI - Partido Revolucionario Institucional","Hombre",67,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
456,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",68,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
457,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",47,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
458,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",57,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
459,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",22,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
460,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",75,"Sí","c(-115.371706972| 32.567430887)",1837,"B1"
461,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",53,"Sí","c(-115.514127073| 32.654831669)",235,"B1"
