"","ident_partido","voto_sen_candidato","sexo","edad","si_voto","geometry","seccion","tipo_casilla"
"1039","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",88,"Sí","c(-115.433831066| 32.621271174)",452,"C1"
"1040","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",64,"Sí","c(-115.433831066| 32.621271174)",452,"C1"
"1041","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",38,"Sí","c(-115.433831066| 32.621271174)",452,"C1"
"1042","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PRD","Mujer",45,"Sí","c(-115.433831066| 32.621271174)",452,"C1"
"1043","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Hombre",62,"Sí","c(-115.433831066| 32.621271174)",452,"C1"
"1044","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",27,"Sí","c(-115.433831066| 32.621271174)",452,"C1"
"1045","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",40,"Sí","c(-115.433831066| 32.621271174)",452,"C1"
"1046","MORENA","Jaime Bonilla y Janeth Tapia del Partido del Trabajo (PT)","Hombre",73,"Sí","c(-115.433831066| 32.621271174)",452,"C1"
"1047","No sabe/No respondió","Julieta Ramírez y Armando Ayala de Morena","Hombre",64,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1048","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",95,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1049","No sabe/No respondió","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",49,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1050","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",47,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1051","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",62,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1052","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Hombre",84,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1053","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",35,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1054","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",100,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1055","PRI - Partido Revolucionario Institucional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",66,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1056","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Mujer",31,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1057","PAN - Partido Acción Nacional","Voto nulo","Mujer",18,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1058","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",17,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1059","MORENA","No respondió","Hombre",40,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1060","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",69,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1061","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Mujer",95,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1062","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",65,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1063","MORENA","Voto nulo","Mujer",90,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1064","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",64,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1065","No sabe/No respondió","Julieta Ramírez y Armando Ayala de Morena","Mujer",41,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1066","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",67,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1067","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",78,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1068","No sabe/No respondió","Julieta Ramírez y Armando Ayala de Morena","Mujer",58,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1069","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",65,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1070","PAN - Partido Acción Nacional","No respondió","Mujer",60,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1071","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",31,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1072","No sabe/No respondió","Julieta Ramírez y Armando Ayala de Morena","Hombre",62,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1073","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",95,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1074","No sabe/No respondió","Gustavo Sánchez y Guadalupe Gutiérrez del PRI","Hombre",66,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1075","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",19,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1076","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",22,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1077","No sabe/No respondió","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",91,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1078","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",31,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1079","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",26,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1080","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",68,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1081","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PRI","Hombre",92,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1082","MC - Movimiento Ciudadano","Julieta Ramírez y Armando Ayala de Morena","Mujer",30,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1083","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",17,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1084","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",62,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1085","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",36,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1086","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",34,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1087","PVEM – Partido Verde Ecologista de México","Jaime Bonilla y Janeth Tapia del Partido del Trabajo (PT)","Hombre",95,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1088","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",18,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1089","Ninguno","Julieta Ramírez y Armando Ayala de Morena","Hombre",67,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1090","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",61,"Sí","c(-115.428205132| 32.622189492)",453,"B1"
"1091","MORENA","No respondió","Mujer",57,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1092","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",97,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1093","MORENA","No respondió","Hombre",87,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1094","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",29,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1095","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",75,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1096","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",63,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1097","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",32,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1098","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PRI","Hombre",95,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1099","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Hombre",25,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1100","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",89,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1101","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PRI","Mujer",83,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1102","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Hombre",88,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1103","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",95,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1104","No sabe/No respondió","Gustavo Sánchez y Guadalupe Gutiérrez del PRI","Mujer",34,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1105","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",28,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1106","MORENA","No respondió","Mujer",91,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1107","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",68,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1108","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",61,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1109","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PRI","Mujer",32,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1110","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",92,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1111","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",37,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1112","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",24,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1113","PT- Partido del Trabajo","Julieta Ramírez y Armando Ayala de Morena","Mujer",52,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1114","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",33,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1115","MORENA","Jaime Bonilla y Janeth Tapia del Partido del Trabajo (PT)","Hombre",69,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1116","PT- Partido del Trabajo","Julieta Ramírez y Armando Ayala de Morena","Mujer",57,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1117","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",54,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1118","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",45,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1119","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Hombre",54,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1120","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",20,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1121","PRI - Partido Revolucionario Institucional","No respondió","Hombre",86,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1122","MORENA","No respondió","Mujer",36,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1123","MORENA","No respondió","Hombre",51,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1124","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",53,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1125","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",75,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1126","MORENA","No respondió","Mujer",31,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1127","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",34,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1128","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",94,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1129","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Mujer",46,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1130","MORENA","Voto nulo","Mujer",23,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1131","PT- Partido del Trabajo","No respondió","Mujer",40,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1132","MORENA","Jaime Bonilla y Janeth Tapia del Partido del Trabajo (PT)","Mujer",99,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1133","PAN - Partido Acción Nacional","No respondió","Mujer",66,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1134","Ninguno","Julieta Ramírez y Armando Ayala de Morena","Mujer",76,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1135","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Hombre",92,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1136","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",17,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1137","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",75,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1138","MORENA","Jaime Bonilla y Janeth Tapia del Partido del Trabajo (PT)","Mujer",59,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1139","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",85,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1140","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",27,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1141","PAN - Partido Acción Nacional","Jaime Bonilla y Janeth Tapia del Partido del Trabajo (PT)","Mujer",56,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1142","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Mujer",24,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1143","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",83,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1144","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PRI","Mujer",68,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1145","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",24,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1146","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",25,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1147","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",87,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1148","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Hombre",55,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1149","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",60,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1150","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",80,"Sí","c(-115.527632136| 32.658300272)",518,"C5"
"1151","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Hombre",68,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1152","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",57,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1153","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Mujer",80,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1154","PAN - Partido Acción Nacional","Jaime Bonilla y Janeth Tapia del Partido del Trabajo (PT)","Mujer",34,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1155","No sabe/No respondió","Julieta Ramírez y Armando Ayala de Morena","Mujer",19,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1156","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",99,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1157","MC - Movimiento Ciudadano","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",23,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1158","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",98,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1159","MORENA","Juan Carlos Hank y Mónica Vega de Partido Verde (PVEM)","Hombre",31,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1160","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",38,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1161","PVEM – Partido Verde Ecologista de México","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",87,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1162","MORENA","No respondió","Mujer",85,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1163","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",37,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1164","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",28,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1165","Ninguno","Jaime Bonilla y Janeth Tapia del Partido del Trabajo (PT)","Hombre",58,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1166","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",71,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1167","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Hombre",57,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1168","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",45,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1169","MORENA","No respondió","Hombre",62,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1170","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Hombre",100,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1171","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",24,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1172","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",75,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1173","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",85,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1174","PT- Partido del Trabajo","No respondió","Mujer",91,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1175","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Hombre",36,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1176","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PRI","Mujer",86,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1177","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",86,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1178","Ninguno","Julieta Ramírez y Armando Ayala de Morena","Mujer",77,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1179","MORENA","David Saul Guakil y Argelia Núñez de (MC)","Hombre",60,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1180","No sabe/No respondió","Gustavo Sánchez y Guadalupe Gutiérrez del PRI","Mujer",85,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1181","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",53,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1182","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",30,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1183","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",59,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1184","Ninguno","Julieta Ramírez y Armando Ayala de Morena","Mujer",25,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1185","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",20,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1186","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",24,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1187","PVEM – Partido Verde Ecologista de México","Julieta Ramírez y Armando Ayala de Morena","Mujer",91,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1188","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",71,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1189","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Hombre",36,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1190","MORENA","David Saul Guakil y Argelia Núñez de (MC)","Hombre",71,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1191","No sabe/No respondió","Julieta Ramírez y Armando Ayala de Morena","Hombre",67,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1192","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",28,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1193","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Hombre",69,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1194","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",82,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1195","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",70,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1196","No sabe/No respondió","Julieta Ramírez y Armando Ayala de Morena","Hombre",39,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1197","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",64,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1198","MORENA","Juan Carlos Hank y Mónica Vega de Partido Verde (PVEM)","Mujer",56,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1199","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",66,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1200","No sabe/No respondió","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",53,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1201","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",61,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1202","MORENA","No respondió","Hombre",55,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1203","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Mujer",40,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1204","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",26,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1205","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",91,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1206","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",48,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1207","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Mujer",84,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1208","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",28,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1209","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",93,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1210","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",68,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1211","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PRI","Mujer",64,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1212","PAN - Partido Acción Nacional","Juan Carlos Hank y Mónica Vega de Partido Verde (PVEM)","Hombre",68,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1213","MORENA","Jaime Bonilla y Janeth Tapia del Partido del Trabajo (PT)","Hombre",42,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1214","PAN - Partido Acción Nacional","Juan Carlos Hank y Mónica Vega de Partido Verde (PVEM)","Mujer",38,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1215","No sabe/No respondió","No respondió","Mujer",76,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1216","MORENA","No respondió","Mujer",79,"Sí","c(-115.539355947| 32.653978046)",522,"C7"
"1217","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",43,"Sí","c(-115.483662944| 32.598145313)",538,"B1"
"1218","PRD - Partido de la Revolución Democrática","Juan Carlos Hank y Mónica Vega de Partido Verde (PVEM)","Hombre",49,"Sí","c(-115.483662944| 32.598145313)",538,"B1"
"1219","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",71,"Sí","c(-115.483662944| 32.598145313)",538,"B1"
"1220","PT- Partido del Trabajo","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",22,"Sí","c(-115.483662944| 32.598145313)",538,"B1"
"1221","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",61,"Sí","c(-115.483662944| 32.598145313)",538,"B1"
"1222","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",84,"Sí","c(-115.483662944| 32.598145313)",538,"B1"
"1223","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",83,"Sí","c(-115.483662944| 32.598145313)",538,"B1"
"1224","PVEM – Partido Verde Ecologista de México","Julieta Ramírez y Armando Ayala de Morena","Hombre",44,"Sí","c(-115.483662944| 32.598145313)",538,"B1"
"1225","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",66,"Sí","c(-115.483662944| 32.598145313)",538,"B1"
"1226","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Hombre",28,"Sí","c(-115.483662944| 32.598145313)",538,"B1"
"1227","PT- Partido del Trabajo","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",77,"Sí","c(-115.483662944| 32.598145313)",538,"B1"
"1228","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",88,"Sí","c(-115.483662944| 32.598145313)",538,"B1"
"1229","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",97,"Sí","c(-115.483662944| 32.598145313)",538,"B1"
"1230","MC - Movimiento Ciudadano","Julieta Ramírez y Armando Ayala de Morena","Mujer",17,"Sí","c(-115.483662944| 32.598145313)",538,"B1"
"1231","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",86,"Sí","c(-115.483662944| 32.598145313)",538,"B1"
